zip,neighborhood,activeCustomers,saturation,cancelEvents,neighborScore,tier,estimatedReach,estimatedConversionRate,estimatedNewCustomers,estimatedFirstYearRevenue,postcardCost,digitalCost,totalCost,estimatedROI
33176,Kendall,129,0.7,23,11.6,Tier 1 — Launch First,2760,0.8,22,17160,2346,828,3174,441
33157,Palmetto Bay / Cutler Bay,120,0.57,23,10.6,Tier 1 — Launch First,3150,0.8,25,19500,2678,945,3623,438
33156,Pinecrest,238,2.05,29,9.8,Tier 1 — Launch First,1740,0.81,14,10920,1479,522,2001,446
33133,Coconut Grove,202,1.23,38,9.6,Tier 1 — Launch First,2460,0.81,20,15600,2091,738,2829,451
33138,Upper East Side,62,0.41,16,9.6,Tier 1 — Launch First,2250,0.8,18,14040,1913,675,2588,443
33143,South Miami / Coral Gables,160,1.25,36,9.6,Tier 1 — Launch First,1920,0.81,15,11700,1632,576,2208,430
33140,Mid-Beach,54,0.36,7,9.4,Tier 1 — Launch First,2250,0.8,18,14040,1913,675,2588,443
33146,Coral Gables (South),109,1.43,31,9.4,Tier 1 — Launch First,1140,0.81,9,7020,969,342,1311,435
33134,Coral Gables (North),95,1.03,33,9.1,Tier 1 — Launch First,1380,0.81,11,8580,1173,414,1587,441
33186,Kendall / The Falls,49,0.22,8,8.1,Tier 1 — Launch First,3390,0.8,27,21060,2882,1017,3899,440
33173,Kendall,45,0.23,6,8,Tier 1 — Launch First,2925,0.8,23,17940,2486,878,3364,433
33137,Edgewater / Midtown,28,0.19,7,7.9,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33155,Westchester,54,0.3,22,7.9,Tier 2 — Strong Candidate,2730,0.8,22,17160,2321,819,3140,447
33037,Unknown,49,0.33,19,7.7,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33154,Bal Harbour / Bay Harbor,34,0.23,4,7.5,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33196,West Kendall,29,0.23,0,7.5,Tier 2 — Strong Candidate,1860,0.8,15,11700,1581,558,2139,447
33139,South Beach,29,0.19,1,7.4,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33180,Aventura / Sunny Isles,21,0.14,1,7,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33144,West Miami / Westchester,14,0.09,0,6.7,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33145,The Roads / Shenandoah,13,0.09,0,6.7,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33149,Key Biscayne,24,0.16,6,6.7,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33181,North Miami / Biscayne Park,13,0.09,0,6.7,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33015,Miami Gardens / Country Club,14,0.09,1,6.6,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33070,Unknown,7,0.05,0,6.4,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33150,Little Haiti / Buena Vista,8,0.05,0,6.4,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33178,Doral,8,0.04,0,6.4,Tier 2 — Strong Candidate,3315,0.8,27,21060,2818,995,3812,452
33187,South Kendall,19,0.1,5,6.4,Tier 2 — Strong Candidate,2835,0.8,23,17940,2410,851,3260,450
33158,Palmetto Bay,37,0.54,10,6.3,Tier 2 — Strong Candidate,1020,0.8,8,6240,867,306,1173,432
33179,North Miami Beach / Ojus,16,0.11,4,6.3,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33161,North Miami,12,0.08,3,6.1,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33193,Country Walk / Three Lakes,6,0.04,1,6,Tier 2 — Strong Candidate,2430,0.8,19,14820,2066,729,2795,430
33165,Westchester / Tamiami,17,0.08,8,5.9,Tier 2 — Strong Candidate,3300,0.8,26,20280,2805,990,3795,434
33166,Medley / Hialeah Gardens,18,0.12,9,5.9,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33175,Kendall West,18,0.08,0,5.9,Tier 2 — Strong Candidate,3570,0.8,29,22620,3035,1071,4106,451
33030,Homestead,14,0.09,6,5.8,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33033,Homestead,16,0.11,0,5.8,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33185,Kendall,19,0.09,1,5.8,Tier 2 — Strong Candidate,3060,0.8,24,18720,2601,918,3519,432
33036,Unknown,13,0.09,0,5.7,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
33014,Hialeah / Miami Lakes,11,0.07,0,5.6,Tier 2 — Strong Candidate,2250,0.8,18,14040,1913,675,2588,443
